Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:00:07,0:01:05,58,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:02:24,0:03:06,41.74,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:03:47,0:04:15,28.4,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:04:53,0:05:37,44.08,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:06:29,0:06:59,30.2,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:08:24,0:08:32,8.44,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:09:01,0:09:33,32.58,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:10:19,0:11:06,47.88,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:11:50,0:12:07,16.7,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:12:37,0:12:50,12.86,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:14:08,0:14:38,29.64,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:15:19,0:15:35,16.4,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:16:35,0:16:44,8.68,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:17:13,0:17:40,27.44,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:18:25,0:18:54,28.04,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:19:16,0:20:14,57.74,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:22:02,0:22:48,46.64,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,,0:23:31,0:23:40,8.9,CUBA,Ganado,IDA,Unica
02-09-26,TOP 14 2026,Tilos - CUBA,0:33:05,1:58:29,Ball in Play,Verde - Try,0:25:31,0:26:51,80.1,CUBA,Ganado,IDA,Unica
