Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:00:57,0:01:29,32.64,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:01:52,0:01:55,3,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:03:29,0:03:48,18.82,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,Verde - Scrum,0:04:47,0:06:51,124.34,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:08:20,0:08:32,12.1,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:09:06,0:09:23,17.08,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,Verde - Drop In Goal,0:09:53,0:11:40,106.84,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,Rojo - Line Out,0:14:01,0:15:11,70.3,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:15:43,0:16:26,42.8,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:18:10,0:18:38,28.179,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:19:07,0:19:37,29.44,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:20:25,0:21:06,41,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:21:56,0:22:18,21.68,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:22:58,0:23:37,38.94,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:25:12,0:25:30,17.5,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:25:59,0:26:41,42.5,Alumni,Perdido,IDA,Unica
06-09-26,TOP 14 2026,Tilos - Alumni,20:59:58,22:26:58,Ball in Play,,0:28:22,0:28:30,7.8,Alumni,Perdido,IDA,Unica
