Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Optional Column
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:00:00,00:00:57,56.600,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:02:20,00:02:41,20.340,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:03:10,00:03:17,6.480,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:03:41,00:04:30,49.080,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:05:06,00:05:48,41.940,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:06:19,00:06:34,15.500,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:07:39,00:08:06,26.440,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:08:51,00:09:15,24.100,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:11:16,00:11:30,13.140,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:13:20,00:14:07,47.760,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:15:19,00:15:58,39.240,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:16:29,00:16:36,6.800,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:17:10,00:17:18,7.700,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:17:57,00:18:18,21.200,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:19:01,00:19:13,11.380,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:20:03,00:20:10,7.140,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:20:57,00:21:32,35.580,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:22:24,00:23:14,50.280,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,Verde - Penal,00:25:11,00:26:30,78.400,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:28:08,00:28:43,34.680,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:29:59,00:30:20,21.220,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:31:03,00:31:22,19.260,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:32:15,00:32:28,13.500,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:34:21,00:34:55,33.680,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:36:01,00:36:06,5.300,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,Rojo - Penal,00:36:43,00:38:26,102.220,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:39:42,00:39:57,15.061,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:41:25,00:41:46,20.902,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:42:12,00:43:09,56.640,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:43:41,00:44:04,23.560,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:45:14,00:45:52,37.400,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:46:45,00:47:13,28.400,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:48:35,00:48:45,10.440,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:50:35,00:51:03,28.600,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:51:45,00:52:08,23.100,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:52:32,00:53:04,32.040,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:54:26,00:54:37,10.680,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:55:28,00:55:42,13.780,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:57:01,00:57:16,14.800,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:57:55,00:58:13,17.800,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,00:59:21,00:59:43,21.540,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:00:39,01:00:56,16.320,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:02:26,01:02:34,7.900,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:03:27,01:04:05,37.540,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:05:12,01:05:41,29.340,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:06:39,01:06:55,15.600,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:08:28,01:08:36,8.100,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:09:40,01:09:48,7.900,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:10:28,01:11:26,57.340,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:13:05,01:13:56,51.800,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:15:28,01:16:26,58.280,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:17:33,01:17:43,10.400,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:18:45,01:19:02,16.980,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:19:58,01:20:25,27.500,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:21:24,01:21:40,16.100,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:22:55,01:24:01,65.540,
2026/09/06,TOP 14 2026,Tilos - BA,19:34:37,21:01:23,Ball in Play,,01:24:55,01:25:20,24.800,
