Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Verde - Scrum ,0:02:29,0:03:32,62.8,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Verde - Try,0:05:07,0:06:23,76.6,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:08:04,0:08:18,13.74,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:09:03,0:09:09,6.08,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:10:10,0:10:33,22.14,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:11:23,0:11:38,14.16,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:12:43,0:13:26,42.78,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:14:22,0:14:47,24.98,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:15:27,0:15:56,28.94,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:17:07,0:17:35,28,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:19:22,0:19:31,9.24,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:20:18,0:20:25,7.1,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Rojo - Scrum,0:21:16,0:22:25,68.6,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Rojo - Line Out,0:23:20,0:24:36,76.2,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:25:17,0:25:30,13.347,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Rojo - Scrum,0:27:04,0:28:04,59.821,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:29:40,0:29:45,4.9,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:30:38,0:30:57,19.6,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Rojo - Line Out,0:31:50,0:34:18,147.94,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:35:45,0:36:33,48.431,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:37:44,0:38:00,15.88,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:39:49,0:39:56,6.54,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:40:48,0:41:01,12.3,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:41:40,0:42:11,31.2,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:43:11,0:43:25,13.6,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:57:50,0:58:11,21.439,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,0:58:44,0:59:09,25.9,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:00:52,1:01:39,46.999,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:03:34,1:04:32,58.46,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:05:25,1:05:39,14.54,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:06:28,1:06:56,28.56,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:08:01,1:08:33,31.2,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:09:29,1:09:54,25.44,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Rojo - Line Out,1:11:23,1:12:34,71.8,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:13:37,1:13:44,6.73,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Verde - Try,1:14:44,1:16:04,80.218,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:17:36,1:18:01,25.5,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:18:56,1:19:02,5.941,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:20:07,1:20:20,12.814,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:21:22,1:21:32,9.355,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:22:18,1:22:24,5.996,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:23:01,1:23:41,40.7,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:25:08,1:25:40,32.12,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:26:45,1:27:14,28.1,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:27:55,1:28:02,6.6,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:28:37,1:29:28,51.44,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:30:50,1:30:55,5,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:31:47,1:31:53,6.04,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:32:46,1:32:53,7.5,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:33:59,1:34:17,18.2,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:34:51,1:35:09,18.08,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,Rojo - Penal,1:35:34,1:37:05,91.276,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:37:10,1:38:02,52.211,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:39:08,1:39:15,6.826,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:39:17,1:39:23,6.2,CASI,Ganado,IDA,Unica
03-09-26,TOP 14 2026,Tilos - CASI,16:29:59,18:11:42,Ball in Play,,1:40:21,1:40:50,29.312,CASI,Ganado,IDA,Unica
